Muestra,Dato__1,Dato__2,Dato__3,Dato__4,Dato__5,Dato__6,Dato__7,Dato__8,Dato__9,Dato__10,Dato__11,Dato__12,Dato__13,Dato__14,Dato__15,Dato__16,Dato__17,Dato__18,Dato__19,Dato__20,Dato__21,Dato__22,Dato__23,Dato__24,Dato__25,Dato__26,Dato__27,Dato__28,Dato__29,Dato__30
Muestra__23,34,58,23,35,22,26,55,30,33,35,35,34,31,42,29,36,19,48,55,31,24,31,37,43,48,33,34,33,29,53
Muestra__24,32,49,22,30,48,46,37,34,25,63,34,22,33,38,38,40,31,29,34,46,37,NA,24,58,46,52,27,35,24,35
Muestra__25,31,29,38,30,60,40,31,34,44,44,40,54,37,52,40,32,31,36,45,65,33,35,27,55,33,40,58,33,25,28
Muestra__26,31,46,32,50,35,22,27,24,28,31,39,24,37,58,36,34,65,31,34,58,40,30,27,32,37,55,46,43,29,40
Muestra__27,32,29,44,50,34,65,37,26,NA,24,48,42,30,24,31,40,24,35,24,29,35,24,33,34,35,45,53,58,25,29
Muestra__28,31,39,31,30,44,35,35,24,33,40,37,36,27,45,37,45,40,48,44,33,28,34,43,28,26,35,35,55,27,52
Muestra__29,22,52,25,36,37,32,46,26,46,30,24,42,40,40,31,63,27,65,44,44,40,40,28,42,36,34,29,65,22,33
Muestra__30,26,63,35,65,47,35,26,33,27,60,33,34,19,35,32,45,40,50,30,31,25,33,39,46,34,34,31,44,65,35
Muestra__31,33,42,52,40,29,27,35,35,36,43,40,31,35,54,45,22,33,40,33,30,46,23,55,35,37,40,48,24,36,25
Muestra__32,38,23,42,36,54,40,25,36,32,46,52,22,34,26,32,27,44,46,33,44,45,34,36,33,58,32,25,35,27,37
Muestra__33,40,37,44,37,26,29,36,34,46,40,46,24,42,25,58,53,50,27,33,32,31,25,33,31,35,48,36,47,43,27
Muestra__34,31,32,36,24,29,47,40,25,58,50,55,33,30,65,NA,26,40,32,38,37,45,46,46,24,35,52,40,38,31,35
Muestra__35,52,55,35,24,45,36,32,49,31,40,44,40,27,47,65,31,31,54,22,25,46,32,33,34,43,39,33,40,63,48
Muestra__36,38,31,29,40,27,31,31,42,25,60,35,43,25,31,27,46,38,NA,31,28,33,35,36,33,27,30,35,NA,27,35
Muestra__37,35,29,36,60,34,35,26,25,32,34,50,36,34,28,63,24,31,45,NA,25,29,46,25,37,48,48,33,32,26,44
Muestra__38,28,42,24,46,35,23,34,35,24,NA,24,26,35,38,25,33,40,32,33,36,27,43,NA,22,45,50,30,26,39,54
Muestra__39,55,47,24,27,22,27,31,38,34,31,45,28,33,24,40,32,40,52,44,30,24,26,40,35,43,42,34,31,25,27
Muestra__40,46,NA,25,52,33,28,22,22,46,43,36,32,65,25,33,36,48,32,34,35,33,28,32,25,32,30,40,NA,38,35
Muestra__41,33,50,46,25,46,29,35,55,36,36,40,48,60,31,52,31,32,30,33,35,22,40,42,34,NA,44,46,65,46,35
Muestra__42,22,35,35,32,26,65,44,46,45,54,27,31,22,25,32,34,50,26,31,34,40,27,25,52,31,58,65,58,36,27
Muestra__43,24,40,34,31,31,22,42,35,34,33,46,39,38,26,33,30,47,52,40,33,52,32,36,26,22,32,31,53,31,58
Muestra__44,53,44,46,37,40,35,63,55,27,34,36,55,27,38,50,40,35,38,40,65,32,45,34,24,32,NA,58,36,33,35
Muestra__45,47,26,29,34,46,35,26,36,50,37,35,55,28,26,44,25,43,22,35,40,42,42,34,35,34,45,45,22,NA,31
Muestra__46,40,28,29,24,38,58,26,28,34,35,32,47,55,39,22,35,32,49,22,24,30,31,36,32,31,24,29,65,38,29
Muestra__47,30,33,45,38,36,25,45,27,26,40,54,32,33,29,29,NA,34,31,44,52,65,34,35,26,34,36,24,40,43,36
Muestra__48,45,27,31,32,45,63,33,28,22,24,39,52,35,27,50,37,27,34,46,28,40,40,32,42,60,34,34,32,65,30
Muestra__49,45,32,35,34,65,28,58,30,40,49,31,34,44,26,40,29,53,55,38,31,27,32,27,24,60,65,54,37,27,19
Muestra__50,25,33,52,46,35,35,43,40,53,44,32,27,29,23,33,40,42,37,31,22,25,32,46,31,40,24,29,28,55,22
Muestra__51,37,31,30,31,45,35,46,50,40,65,27,46,35,43,33,43,31,24,26,24,50,35,46,25,25,24,35,32,40,44
Muestra__52,39,33,35,29,55,27,34,31,47,40,46,46,28,60,26,25,26,54,32,33,34,44,24,34,28,31,43,63,53,31
Muestra__53,46,25,24,33,25,54,37,53,48,55,42,45,40,32,33,25,30,31,27,27,31,22,35,28,48,44,31,25,52,32
Muestra__54,48,33,25,27,24,24,65,19,22,35,36,49,40,26,45,46,34,40,32,28,31,43,36,34,32,24,33,33,26,35
Muestra__55,48,47,46,32,25,40,26,31,37,35,22,31,31,58,25,28,34,25,32,29,33,43,NA,38,40,42,22,27,31,27
Muestra__56,44,NA,46,26,40,40,24,38,43,35,34,35,38,28,35,40,25,43,45,45,48,54,40,34,55,34,26,24,34,58
Muestra__57,39,33,32,31,27,31,45,30,50,36,24,31,46,40,31,32,27,22,65,37,35,29,32,26,55,26,44,34,34,25
Muestra__58,42,28,26,34,30,35,40,46,30,19,43,36,34,43,38,32,35,55,44,31,48,22,24,58,27,22,33,35,50,58
Muestra__59,40,27,55,42,40,36,19,45,32,46,49,32,35,37,33,48,53,24,63,54,27,28,30,27,26,60,28,36,24,46
Muestra__60,42,26,25,33,34,22,52,55,24,29,36,43,42,46,40,33,46,40,37,31,29,40,30,60,32,43,58,28,40,65
Muestra__61,23,46,37,42,26,53,31,33,31,31,33,22,28,38,22,25,31,50,36,36,24,27,33,34,24,45,NA,NA,58,27
Muestra__62,37,31,32,24,46,46,24,22,46,24,39,26,34,36,35,22,37,36,50,35,NA,25,44,44,46,33,26,55,65,26
Muestra__63,40,31,35,33,53,32,40,44,31,63,22,39,39,25,24,27,52,32,35,35,24,58,33,24,36,29,27,26,28,38
Muestra__64,34,26,26,22,39,25,32,28,45,40,19,27,50,27,52,33,31,46,38,55,24,42,23,49,29,45,43,29,33,28
Muestra__65,46,33,32,43,32,42,58,40,24,27,29,63,48,34,24,38,46,37,58,37,33,35,31,40,22,22,31,28,31,48
Muestra__66,35,26,46,60,31,27,43,34,25,29,36,58,32,40,27,40,26,34,44,39,36,55,23,27,42,24,35,33,28,37
Muestra__67,32,40,26,46,24,30,31,26,35,35,37,33,39,29,42,26,35,42,31,26,42,27,31,35,31,27,27,46,34,29
Muestra__68,34,33,28,50,44,27,34,30,45,46,39,55,48,33,33,35,48,22,36,NA,42,35,39,40,38,35,32,24,30,32
Muestra__69,38,44,46,26,29,29,33,37,45,31,29,31,44,31,40,35,42,30,53,NA,25,31,35,33,29,24,40,46,25,36
Muestra__70,60,31,34,31,27,34,31,43,53,40,38,31,37,35,45,22,46,25,32,33,63,55,24,30,33,30,34,22,33,19
Muestra__71,NA,42,50,28,35,25,40,27,23,22,31,40,36,27,22,22,37,46,42,40,36,28,33,26,31,32,31,44,58,48
Muestra__72,34,55,46,48,50,33,33,22,35,25,29,46,35,35,19,40,34,45,42,32,24,25,NA,28,27,52,42,28,35,38
Muestra__73,32,45,33,27,36,31,54,26,50,30,26,28,55,32,27,46,49,38,31,31,29,33,24,29,48,22,39,31,24,22
Muestra__74,45,32,29,24,45,32,28,29,50,44,27,65,36,38,22,33,31,19,26,39,24,27,30,30,32,35,40,23,46,28
Muestra__75,35,24,65,53,36,35,52,27,27,43,33,33,65,22,55,37,22,35,46,34,34,38,22,26,42,46,32,25,26,27
Muestra__76,29,40,63,25,58,46,26,42,40,24,45,35,25,25,27,40,47,37,33,52,50,30,31,31,27,31,46,22,31,48
Muestra__77,NA,25,31,35,53,42,31,38,23,58,28,28,52,34,48,31,48,40,26,46,24,36,27,27,26,40,36,22,46,30
Muestra__78,48,31,34,33,34,34,58,63,50,31,27,42,31,42,60,49,36,28,40,40,32,55,36,28,26,34,22,34,37,35
Muestra__79,45,27,49,38,40,34,25,38,36,46,36,60,38,25,37,26,46,34,36,35,50,27,58,45,31,28,40,24,37,44
Muestra__80,34,40,31,46,45,27,27,34,27,22,46,37,31,33,35,25,32,45,30,35,58,47,26,28,NA,29,43,38,26,35
Muestra__81,34,31,24,36,NA,50,35,34,40,38,33,29,25,43,47,46,37,19,36,28,43,40,31,22,45,36,24,33,35,54
Muestra__82,31,54,27,34,31,46,34,24,24,25,31,NA,55,40,58,NA,46,26,26,48,48,31,40,46,44,45,35,42,36,22
Muestra__83,34,38,63,37,27,33,25,45,33,34,27,32,44,22,31,26,55,24,36,40,52,28,48,31,24,34,33,42,39,26
Muestra__84,33,25,34,31,48,35,24,37,46,27,46,25,38,43,40,58,34,27,63,24,47,32,65,26,36,25,22,36,24,31
Muestra__85,43,37,33,40,55,32,58,46,45,44,31,44,24,35,65,40,27,38,25,24,35,28,32,34,32,38,27,52,31,33
Muestra__86,33,28,38,35,58,55,37,35,NA,25,29,36,65,26,32,34,58,35,31,50,24,31,32,22,50,35,35,29,31,45
Muestra__87,52,NA,25,33,34,27,31,34,27,32,35,46,35,34,22,32,32,34,40,19,33,24,46,33,40,44,30,33,24,48
Muestra__88,33,33,29,26,36,35,46,53,33,38,45,65,22,27,19,39,36,25,43,36,48,42,30,34,60,55,52,32,34,49
Muestra__89,33,55,63,36,31,38,35,32,47,35,55,38,24,35,44,30,36,26,28,35,38,45,34,42,34,30,22,27,46,31
Muestra__90,38,40,35,22,33,28,33,26,58,50,26,40,46,34,27,58,37,47,28,65,27,32,24,33,NA,24,36,35,31,36
Muestra__91,26,23,32,28,26,32,31,33,34,29,48,46,40,37,24,27,36,46,34,42,37,NA,60,48,34,38,22,30,31,54
Muestra__92,34,36,42,31,34,27,42,39,26,40,37,48,26,34,50,65,32,27,27,52,NA,32,34,35,31,43,34,25,63,39
Muestra__93,63,27,33,24,53,58,38,26,40,35,35,50,52,23,40,26,43,46,34,42,50,40,29,37,36,60,27,33,33,22
Muestra__94,40,48,40,34,43,35,53,33,43,50,36,52,49,32,35,35,26,27,39,25,34,24,31,24,40,37,23,33,31,55
Muestra__95,27,NA,33,37,32,22,32,35,40,31,58,55,35,23,31,26,28,32,30,35,34,30,24,40,27,45,40,24,28,38
Muestra__96,37,34,46,26,44,38,32,48,28,34,33,30,36,34,52,29,35,31,28,27,32,35,49,36,46,65,43,35,19,34
Muestra__97,31,27,34,58,24,33,19,32,50,48,40,40,42,43,42,26,55,33,24,34,31,65,36,26,33,37,28,46,55,34
Muestra__98,40,48,22,36,26,33,39,58,44,35,27,30,52,38,25,58,43,63,46,42,35,50,25,36,28,32,55,40,22,28
Muestra__99,24,44,36,33,44,29,27,32,35,35,26,26,54,40,22,50,46,40,30,58,28,34,37,55,22,34,32,46,63,38
Muestra__100,65,25,31,35,54,27,31,46,27,23,22,58,28,38,34,24,31,31,22,25,38,24,29,35,28,46,NA,38,65,52
Muestra__101,32,27,38,25,32,49,60,38,38,27,37,34,29,35,29,46,52,46,40,34,55,22,63,39,65,26,25,37,22,26
Muestra__102,29,54,28,27,28,48,65,26,44,32,37,26,32,25,46,48,34,40,32,35,42,35,58,24,38,19,36,63,40,37
Muestra__103,33,30,26,27,39,40,28,30,22,34,35,58,34,29,33,35,24,40,40,63,25,33,65,55,34,25,44,37,33,24
Muestra__104,47,34,28,46,40,58,43,27,36,24,33,31,35,46,26,29,22,55,45,42,43,45,42,40,55,26,40,39,31,26
Muestra__105,26,44,58,40,31,53,47,42,24,23,31,39,37,38,30,36,35,43,55,40,30,31,44,33,28,45,27,26,45,46
Muestra__106,28,34,65,42,32,31,NA,55,45,26,27,40,48,22,58,33,36,31,35,34,37,40,38,24,29,45,24,32,35,44
Muestra__107,35,52,28,26,29,35,48,50,44,37,38,53,22,27,31,40,22,34,30,26,65,46,50,33,36,34,32,32,45,31
Muestra__108,40,24,29,33,48,34,34,33,28,NA,32,35,25,47,35,NA,28,34,33,39,31,19,27,38,32,29,31,35,27,45
Muestra__109,36,34,46,36,27,46,34,32,31,29,40,30,50,31,55,NA,31,27,55,60,50,46,58,65,38,45,33,NA,33,35
Muestra__110,34,24,28,29,24,49,35,22,31,27,26,44,27,65,34,NA,28,33,26,35,33,60,25,50,35,31,37,42,26,27
Muestra__111,25,37,42,30,26,22,38,31,65,34,29,42,26,27,50,29,46,26,27,36,NA,31,33,44,NA,27,34,32,35,45
Muestra__112,32,55,60,54,30,22,22,55,42,36,29,42,23,22,22,NA,26,55,58,30,27,45,40,28,36,27,35,29,32,31
Muestra__113,46,33,34,31,26,63,35,24,55,53,40,34,34,50,46,55,65,27,31,26,32,27,54,29,45,26,48,37,52,39
Muestra__114,28,32,31,48,39,34,30,26,32,27,31,42,46,24,33,29,34,45,58,36,32,35,28,25,27,32,24,29,33,46
Muestra__115,31,50,42,36,28,33,22,34,48,46,34,55,45,32,39,46,48,38,33,35,40,35,32,40,22,NA,52,23,29,26
Muestra__116,34,35,44,24,35,32,22,47,46,NA,40,34,23,35,28,35,39,40,33,45,65,38,29,60,32,25,30,35,48,31
Muestra__117,46,39,22,44,46,31,37,36,31,43,35,34,32,19,34,42,27,24,46,42,34,52,22,33,25,48,63,33,24,35
Muestra__118,44,36,32,46,38,60,28,40,33,19,46,63,25,52,43,22,40,35,26,24,42,35,40,40,26,32,34,34,33,42
Muestra__119,23,45,54,34,34,40,34,33,65,25,31,46,29,22,32,31,55,65,30,32,33,26,30,40,35,26,36,50,35,40
Muestra__120,54,22,35,27,38,31,44,32,29,31,30,27,24,32,38,50,34,48,25,24,60,30,22,25,25,46,33,58,63,52
Muestra__121,34,44,30,35,43,46,35,19,54,47,24,22,55,31,58,31,38,42,35,38,36,32,50,40,29,31,48,29,43,36
Muestra__122,63,27,48,28,43,40,22,40,32,36,24,27,26,34,25,27,35,32,36,27,33,31,46,40,26,47,34,38,24,54
Muestra__123,35,33,32,32,35,40,30,46,34,44,28,33,29,45,36,29,55,34,28,37,35,58,31,31,26,60,22,53,31,44
Muestra__124,31,55,60,NA,50,30,36,42,42,53,42,33,35,34,29,32,35,26,39,55,43,28,46,29,63,32,24,47,43,22
Muestra__125,24,19,22,35,44,36,40,38,35,50,34,46,32,33,25,33,40,33,27,34,26,34,52,30,31,28,43,NA,35,26
Muestra__126,42,36,37,26,28,32,44,46,36,54,35,60,33,29,NA,40,30,33,49,40,34,19,31,30,35,55,33,24,24,26
Muestra__127,43,30,26,46,33,55,47,31,40,54,30,34,33,46,39,31,46,32,24,37,46,58,25,40,28,55,33,24,63,32
Muestra__128,40,30,31,46,27,33,39,31,37,33,26,24,35,34,40,22,30,24,39,31,34,44,24,35,27,26,NA,40,35,30
Muestra__129,29,46,19,34,22,60,52,34,40,48,45,26,40,42,36,NA,36,31,50,30,32,32,37,48,32,31,35,46,27,26
Muestra__130,29,34,26,27,32,25,26,44,28,33,55,32,40,38,NA,43,40,34,31,40,52,58,45,65,36,49,52,35,32,54
Muestra__131,45,34,44,34,40,55,26,45,29,38,46,44,37,58,40,35,24,26,46,54,NA,24,27,24,42,31,22,40,42,43
Muestra__132,27,32,55,26,44,35,24,43,35,23,54,33,NA,31,42,50,29,26,52,30,35,65,19,29,36,34,27,25,24,43
Muestra__133,22,60,35,28,38,37,27,42,35,31,31,35,52,65,27,28,55,49,35,24,32,33,35,44,38,40,45,19,37,32
Muestra__134,50,26,33,34,35,50,48,31,29,40,43,37,34,22,31,NA,27,65,45,60,33,27,31,44,31,34,34,29,35,44
Muestra__135,34,36,27,19,25,35,28,26,22,35,44,31,NA,43,35,42,31,31,50,24,40,58,47,36,31,46,34,34,37,34
Muestra__136,34,33,50,35,35,46,30,32,23,60,25,42,58,33,31,36,26,34,22,65,45,34,31,39,44,34,28,40,32,24
Muestra__137,32,49,32,45,35,34,33,40,31,33,47,31,50,33,35,33,NA,29,25,55,30,24,34,NA,35,31,25,22,32,39
Muestra__138,31,31,28,31,46,36,30,33,34,27,37,35,33,40,55,32,31,32,34,26,50,36,34,45,35,34,48,25,30,40
Muestra__139,26,40,25,30,52,46,39,40,44,37,24,34,22,46,33,30,42,65,35,27,24,40,23,44,27,55,40,31,34,19
Muestra__140,37,46,32,34,46,33,25,48,40,29,27,27,26,26,29,44,31,NA,38,34,19,40,45,35,32,36,28,31,34,27
Muestra__141,35,40,46,43,33,32,40,50,28,29,44,47,32,33,40,33,55,35,25,27,38,31,38,31,35,29,29,45,37,39
Muestra__142,24,34,44,26,47,29,22,58,22,32,38,50,54,36,29,27,65,19,30,24,37,32,30,44,25,55,27,28,46,32
Muestra__143,54,34,26,35,34,22,27,44,46,27,32,40,58,44,35,28,30,19,25,24,40,28,50,52,32,31,34,60,32,43
Muestra__144,55,53,31,58,35,30,33,45,35,46,26,33,24,40,31,40,33,25,34,65,34,22,49,32,36,31,24,31,40,45
Muestra__145,28,44,40,27,46,32,48,40,34,22,63,24,25,31,22,32,46,42,33,33,40,25,50,34,26,31,24,45,35,24
Muestra__146,40,29,55,28,43,27,50,33,46,31,27,40,24,44,37,44,34,34,40,37,33,33,55,42,34,32,58,35,33,31
Muestra__147,25,35,48,26,37,44,52,34,28,35,55,24,23,42,33,34,31,34,46,60,32,33,25,27,25,31,39,58,31,46
Muestra__148,32,24,33,44,34,34,39,37,27,32,30,40,29,33,60,31,48,46,25,35,23,53,55,34,46,36,42,35,39,32
Muestra__149,34,26,34,38,49,33,58,28,35,37,35,44,42,54,40,33,40,52,29,28,43,24,26,35,55,NA,52,27,27,34
Muestra__150,39,35,65,28,44,42,32,65,55,32,47,49,27,32,60,35,48,31,27,25,36,37,40,24,22,29,31,50,32,33
Muestra__151,31,34,32,22,44,33,26,31,33,42,35,31,32,31,35,52,30,27,47,29,37,23,42,65,53,22,27,36,34,31
Muestra__152,31,44,65,24,26,36,36,36,22,42,58,29,31,46,27,26,30,31,47,29,65,29,63,31,NA,40,33,40,27,40
Muestra__153,40,28,28,25,32,33,34,54,39,27,29,26,27,60,52,29,25,25,22,40,28,58,45,27,35,34,35,36,36,63
Muestra__154,65,31,35,25,NA,33,50,40,29,46,22,23,63,27,32,29,28,24,31,39,26,44,30,29,31,42,40,31,45,60
Muestra__155,31,25,32,52,36,33,NA,19,50,40,34,30,24,37,40,37,31,33,45,25,52,65,34,31,40,31,35,33,32,46
Muestra__156,37,39,34,34,36,32,24,30,31,25,30,25,40,40,49,35,32,26,28,60,27,42,43,58,26,55,31,26,52,34
Muestra__157,30,40,43,33,49,31,35,29,31,28,33,36,39,31,52,38,25,34,35,22,37,24,52,32,38,55,55,33,27,48
Muestra__158,26,27,26,34,35,54,24,65,22,42,26,NA,30,58,46,32,38,36,30,27,30,50,43,35,36,47,45,45,48,33
Muestra__159,35,42,26,47,31,40,35,28,50,65,40,36,40,36,24,28,35,22,42,46,38,19,25,45,NA,28,25,32,55,54
Muestra__160,26,31,36,28,39,32,63,40,35,28,24,31,19,52,35,43,38,33,24,30,46,32,40,28,24,29,33,46,45,31
Muestra__161,25,31,26,26,31,31,29,55,34,22,45,19,35,33,63,35,27,28,49,34,45,24,55,42,60,40,28,53,40,54
Muestra__162,32,65,45,28,52,36,43,24,46,44,31,40,54,39,31,33,NA,29,42,NA,22,27,40,35,26,49,33,22,40,33
Muestra__163,35,55,52,35,24,38,28,33,37,23,32,45,22,44,45,32,46,31,NA,46,35,35,27,35,33,33,40,36,36,26
Muestra__164,44,35,24,35,22,34,24,31,35,27,37,27,NA,48,33,32,40,22,55,25,40,47,28,38,34,28,31,42,46,37
Muestra__165,34,33,31,54,37,55,35,27,33,42,44,50,38,33,30,65,31,36,26,NA,35,23,43,49,31,29,46,40,40,34
Muestra__166,45,34,34,48,28,27,27,40,29,54,40,19,31,26,33,26,34,31,30,35,30,24,32,33,35,25,38,34,32,65
Muestra__167,22,45,35,24,40,22,24,31,36,37,32,30,46,31,43,40,46,39,49,31,25,28,54,27,26,42,47,29,34,40
Muestra__168,25,25,24,35,32,30,32,25,22,25,50,24,28,29,44,40,35,47,46,44,27,43,31,29,39,34,36,32,49,34
Muestra__169,25,31,25,43,28,27,34,44,22,40,33,33,22,31,24,35,32,24,36,33,26,31,31,46,50,25,52,29,25,45
Muestra__170,45,31,40,27,24,28,35,27,24,31,36,40,58,33,40,40,30,55,33,36,37,32,55,26,NA,43,46,34,45,34
Muestra__171,35,27,46,29,50,26,34,27,42,33,40,52,28,39,35,35,36,34,25,38,25,44,33,24,54,48,33,24,31,30
Muestra__172,31,35,45,40,34,27,35,48,19,NA,45,55,40,35,42,34,32,30,31,46,46,33,40,29,39,52,33,27,31,27
Muestra__173,32,48,26,48,46,35,35,38,34,32,33,31,53,36,22,24,35,33,27,24,26,36,22,60,43,26,25,26,40,35
Muestra__174,35,31,34,43,28,32,31,35,44,42,63,36,44,31,29,33,54,52,45,33,37,25,27,65,42,40,43,35,24,28
Muestra__175,37,32,38,46,24,35,40,31,45,43,27,55,34,44,29,44,31,39,31,26,27,24,26,33,33,30,28,35,40,52
Muestra__176,35,48,28,42,26,31,55,34,35,22,37,54,31,34,46,27,28,44,29,40,34,24,29,42,24,65,36,33,39,45
Muestra__177,32,36,58,NA,37,31,38,29,42,35,40,25,33,31,44,34,37,33,27,35,55,34,23,40,44,26,25,27,49,35
Muestra__178,58,42,27,32,28,22,28,36,27,39,24,25,34,26,52,28,45,65,33,58,60,32,25,33,24,43,35,40,45,36
Muestra__179,31,43,26,52,35,46,45,63,25,48,27,32,31,24,29,28,26,28,46,55,27,35,47,34,43,65,40,31,35,19
Muestra__180,25,29,33,27,29,28,58,48,34,55,55,33,46,33,65,36,40,35,40,24,58,31,53,40,30,28,45,32,25,44
Muestra__181,27,49,26,45,43,33,53,35,40,29,24,25,31,44,65,34,35,29,28,27,45,31,24,39,50,40,22,37,34,46
Muestra__182,42,44,NA,39,40,27,31,34,NA,37,25,34,31,22,24,32,35,29,23,45,25,31,26,35,44,52,35,40,32,35
Muestra__183,32,31,35,31,40,22,24,32,65,50,50,26,26,35,24,34,30,33,40,22,29,25,32,31,22,25,52,45,34,55
Muestra__184,25,NA,44,22,58,49,35,22,27,30,46,24,27,19,27,34,37,31,38,46,36,32,26,35,25,25,31,32,26,42
Muestra__185,36,35,25,42,31,31,55,24,25,30,40,34,34,40,27,36,31,34,33,65,44,35,33,46,48,44,40,37,34,45
Muestra__186,38,44,42,33,55,31,58,60,55,35,29,36,30,45,NA,40,40,52,22,40,54,43,26,34,47,28,27,31,42,38
Muestra__187,33,40,40,27,55,29,34,22,50,50,58,48,32,34,40,34,52,33,44,33,46,31,31,43,35,31,40,28,54,19
Muestra__188,40,30,34,33,35,NA,40,34,22,44,31,31,42,30,36,26,26,26,29,33,38,32,35,44,30,48,42,40,35,28
Muestra__189,38,45,35,27,33,29,32,37,43,40,35,25,24,40,34,32,31,36,33,65,40,34,27,31,25,24,NA,26,36,22
Muestra__190,46,32,28,43,37,34,35,52,32,27,25,40,29,24,40,39,42,46,58,22,44,26,30,31,33,34,36,22,40,19
Muestra__191,29,31,38,33,35,28,40,34,50,46,32,60,27,39,31,33,26,55,31,29,30,43,36,34,42,48,32,32,36,40
Muestra__192,40,28,25,27,35,55,65,24,35,53,58,27,34,27,33,52,27,55,32,31,26,35,40,32,35,35,43,58,34,33
Muestra__193,33,32,38,40,29,25,24,37,33,55,54,46,52,NA,28,46,26,30,44,43,35,46,40,31,33,31,22,40,39,35
Muestra__194,34,29,45,24,32,24,40,34,34,54,40,55,36,44,33,26,43,43,39,47,27,50,28,40,32,32,27,27,60,44
Muestra__195,46,48,32,63,32,19,22,42,52,24,34,23,50,37,NA,31,38,55,22,31,35,27,27,35,40,22,34,35,38,45
Muestra__196,40,32,46,35,44,40,47,34,26,55,25,50,26,34,45,30,35,24,37,31,34,28,46,34,27,46,24,52,34,36
Muestra__197,24,40,32,35,27,19,65,40,65,29,24,46,33,40,42,43,34,35,40,29,34,50,22,36,36,33,36,34,24,40
Muestra__198,24,44,40,46,24,43,31,26,33,24,29,34,NA,27,27,36,33,NA,46,27,52,35,48,65,31,34,26,38,55,40
Muestra__199,26,33,31,27,48,50,26,40,35,22,42,35,28,43,34,27,33,23,26,24,33,27,60,40,34,27,29,29,44,55
Muestra__200,50,33,29,48,39,45,48,63,32,35,22,35,53,31,24,35,33,40,34,46,30,34,26,46,40,40,23,36,27,44
Muestra__201,32,23,40,42,40,35,34,31,28,49,29,40,45,39,34,42,26,46,24,36,60,46,29,35,27,35,24,45,40,22
Muestra__202,24,54,34,26,42,48,30,40,33,23,53,45,55,31,36,63,31,36,47,55,44,26,34,NA,32,27,19,29,33,35
